CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,year
232973689,2019-04-23,16:18:00,44.0,04/23/2019,105,ROBBERY,366.0,"ROBBERY,BICYCLE",COMPLETED,FELONY,BRONX,,PARK/PLAYGROUND,N.Y. POLICE DEPT,CLAREMONT PARK,1009532.0,246424.0,40.843024178000064,-73.90862706999997,"(40.843024178000064, -73.90862706999997)",PATROL BORO BRONX,<18,BLACK HISPANIC,M,2019.0
398182220,2019-06-29,01:30:00,103.0,07/24/2019,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,QUEENS,,PARK/PLAYGROUND,N.Y. POLICE DEPT,MARCONI PARK,1041281.0,191887.0,40.69318672500003,-73.79434266899995,"(40.69318672500003, -73.79434266899995)",PATROL BORO QUEENS SOUTH,25-44,BLACK,F,2019.0
791045583,2019-01-10,18:30:00,84.0,01/10/2019,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,TRINITY PARK,988950.0,193715.0,40.69838666400005,-73.98305152799998,"(40.698386664000054, -73.98305152799998)",PATROL BORO BKLYN NORTH,<18,WHITE HISPANIC,F,2019.0
552549706,2019-01-04,04:22:00,22.0,01/04/2019,110,GRAND LARCENY OF MOTOR VEHICLE,441.0,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,CENTRAL PARK,994537.0,224035.0,40.781602803000055,-73.962856404,"(40.781602803000055, -73.96285640399998)",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,E,2019.0
894206441,2019-01-03,11:09:00,40.0,01/03/2019,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,PARK/PLAYGROUND,N.Y. POLICE DEPT,ST. MARY'S PARK BRONX,1008900.0,235714.0,40.81363008500005,-73.91095059699995,"(40.81363008500006, -73.91095059699995)",PATROL BORO BRONX,UNKNOWN,UNKNOWN,E,2019.0
907089542,2019-01-08,23:15:00,110.0,01/09/2019,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,PARK/PLAYGROUND,N.Y. POLICE DEPT,WILLIAM F MOORE PARK,1024443.0,210126.0,40.74334082400002,-73.85495293099996,"(40.74334082400003, -73.85495293099996)",PATROL BORO QUEENS NORTH,25-44,WHITE HISPANIC,M,2019.0
134654884,2019-01-04,16:45:00,44.0,01/04/2019,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,,PARK/PLAYGROUND,N.Y. POLICE DEPT,FRANZ SIGEL PARK,1004830.0,238446.0,40.82113907500008,-73.92564553799998,"(40.821139075000076, -73.92564553799997)",PATROL BORO BRONX,45-64,WHITE HISPANIC,M,2019.0
904325329,2019-01-09,15:50:00,13.0,01/09/2019,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,NYC PARKS,ASSER LEVY PLAYGROUND,991139.0,207207.0,40.73541754100006,-73.97514338899998,"(40.73541754100006, -73.97514338899998)",PATROL BORO MAN SOUTH,<18,WHITE HISPANIC,M,2019.0
985528818,2019-01-02,17:40:00,25.0,01/02/2019,361,OFF. AGNST PUB ORD SENSBLTY &,661.0,"LEWDNESS,PUBLIC",COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,MARCUS GARVEY PARK,999163.0,232156.0,40.80388616200002,-73.94613447899997,"(40.803886162000026, -73.94613447899997)",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,E,2019.0
796189138,2019-01-08,16:30:00,22.0,01/08/2019,106,FELONY ASSAULT,105.0,STRANGULATION 1ST,COMPLETED,FELONY,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,CENTRAL PARK,993538.0,222793.0,40.77819494700003,-73.96646538199997,"(40.77819494700003, -73.96646538199997)",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,F,2019.0
124597439,2019-01-01,15:15:00,5.0,01/01/2019,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,SARA D. ROOSEVELT PARK,985961.0,200916.0,40.71815279100008,-73.99382912599998,"(40.71815279100008, -73.99382912599998)",PATROL BORO MAN SOUTH,<18,ASIAN / PACIFIC ISLANDER,M,2019.0
655659510,2019-01-08,15:00:00,1.0,01/09/2019,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,BATTERY PARK,982975.0,203499.0,40.72524257600002,-74.00460141699995,"(40.72524257600003, -74.00460141699995)",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,E,2019.0
391241874,2019-01-08,14:20:00,28.0,01/08/2019,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,A PHILIP RANDOLPH SQUARE,997346.0,232110.0,40.80376278400007,-73.95269771999993,"(40.80376278400007, -73.95269771999995)",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,E,2019.0
983584718,2019-01-07,14:15:00,26.0,01/08/2019,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,ST. NICHOLAS PARK,998271.0,235692.0,40.81359296400007,-73.94934906999998,"(40.813592964000065, -73.94934906999998)",PATROL BORO MAN NORTH,<18,WHITE HISPANIC,M,2019.0
286204199,2019-01-10,15:30:00,22.0,01/10/2019,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,CENTRAL PARK,994115.0,224726.0,40.78349989600008,-73.96437917799993,"(40.78349989600008, -73.96437917799994)",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,D,2019.0
772598982,2019-01-10,14:51:00,46.0,01/10/2019,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,INSIDE,PARK/PLAYGROUND,N.Y. POLICE DEPT,RICHMAN (ECHO) PARK,1011499.0,249075.0,40.85029453900006,-73.90150715799997,"(40.85029453900006, -73.90150715799996)",PATROL BORO BRONX,UNKNOWN,UNKNOWN,E,2019.0
410525935,2019-01-01,04:00:00,60.0,01/01/2019,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,BELT PARKWAY/SHORE PARKWAY,990784.0,149362.0,40.576645978000045,-73.97648039599994,"(40.576645978000045, -73.97648039599994)",PATROL BORO BKLYN SOUTH,UNKNOWN,UNKNOWN,E,2019.0
213146468,2019-01-04,20:40:00,6.0,01/04/2019,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,PARK/PLAYGROUND,N.Y. POLICE DEPT,WASHINGTON SQUARE PARK,982746.0,206647.0,40.73388303300004,-74.00542831099993,"(40.73388303300004, -74.00542831099995)",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,E,2019.0
584902406,2019-01-02,13:50:00,5.0,01/02/2019,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,SARA D. ROOSEVELT PARK,986219.0,201582.0,40.71998074800007,-73.992898213,"(40.71998074800007, -73.99289821299999)",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,E,2019.0
747922650,2019-01-01,11:00:00,75.0,01/01/2019,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,HIGHLAND PARK,1015966.0,188407.0,40.68376185400008,-73.88564701099993,"(40.68376185400007, -73.88564701099995)",PATROL BORO BKLYN NORTH,25-44,UNKNOWN,F,2019.0
733000010,2019-01-09,10:50:00,77.0,01/09/2019,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,LINCOLN TERRACE / ARTHUR S. SOMERS PARK,1004890.0,182836.0,40.668503474000026,-73.92559940099994,"(40.66850347400003, -73.92559940099994)",PATROL BORO BKLYN NORTH,25-44,BLACK,M,2019.0
803700926,2019-01-03,14:20:00,25.0,01/03/2019,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,MARCUS GARVEY PARK,1000033.0,231677.0,40.80256992700004,-73.94299309599995,"(40.802569927000036, -73.94299309599995)",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,M,2019.0
